Item Name,Qty,Price (total) (USD),Item link,Notes
TATTU G-Tech 7000mAh 6s 25c LiPo Battery,1,$198.49,https://www.getfpv.com/tattu-7000mah-6s-25c-lipo-battery.html,Battery
Raspberry Pi 5 - 8 GB RAM,1,$200.00,https://www.adafruit.com/product/5813#description,Raspberry Pi
Pixhawk 6C Mini Model-A,1,$149.98,https://holybro.com/products/pixhawk-6c-mini?srsltid=AfmBOorBXTERmjCgEXgvggE-Tk6qPXgyot4ll4S8bruNfQTjgvZ5DFoh,w/ PM02 V3
Antigravity MN2806 EVO KV650,4,$199.60,https://store.tmotor.com/product/antigravity-mn2806-evo-motor.html?srsltid=AfmBOopNKClEGyk1iAMxY331-jSQlJwvwJd-j2G7_kNC_m03aCxQylrY,Motors
25KG Digital Servo Full Metal Gear,3,$53.97,https://www.amazon.com/dp/B0FSC535H1/ref=sspa_dk_detail_4?pd_rd_i=B07GJ6ZCVY&pd_rd_w=AQ8Xz&content-id=amzn1.sym.4adc092d-0184-45e6-8bd0-773f48fbf8ff&pf_rd_p=4adc092d-0184-45e6-8bd0-773f48fbf8ff&pf_rd_r=27CD9TRBVK2XA695WSKP&pd_rd_wg=ExrKK&pd_rd_r=149b1667-8cd3-4367-ba88-0467851445f7&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1,Pack of 2 and 1 single (All 25kg 270deg)
Raspberry Pi Camera Module 3 - 12MP 120 Degree Wide Angle Lens,2,$77.00,https://www.adafruit.com/product/5658,Camera
MR 12X4.5(CCW),2,$7.60,https://www.hqprop.com/multi-rotor-prop-12x45ccw-p0302.html,Propellers
MR 12x4.5R(CW),2,$7.60,https://www.hqprop.com/multi-rotor-pusher-prop-12x45rcw-p0160.html,Propellers
"RPLiDAR C1 - DTOF LiDAR 360° Laser Range Scanner (12m, IP54)",1,$69.00,https://www.dfrobot.com/product-2803.html?gad_source=1&gad_campaignid=23441885436&gbraid=0AAAAADucPlD0HyPeUEjTI2BTF22t4ax8Q&gclid=Cj0KCQjwrs7RBhDuARIsAIVfBD1CsdM9h_jOccct_je1ovPsGRrC-pBNTrz0BGiFhhNRMrA3XrCNEBEaAls9EALw_wcB,Lidar
TBS Lucid 60A 8S AM32 4-in-1 ESC,1,$49.99,https://www.getfpv.com/tbs-lucid-60a-8s-am32-4-in-1-esc.html?utm_source=google&utm_medium=cpc&utm_campaign=DM+-+NB+-+PMax+-+Shop+-+No-index+-+SM+-+ALL+%7C+Full+Funnel&utm_content=pmax_x&utm_keyword=&utm_matchtype=&campaign_id=20799936859&network=x&device=c&gc_id=20799936859&gad_source=1&gad_campaignid=20796067361&gbraid=0AAAAAD8cN5KTkvsnfevU311Zx6KmPDAJg&gclid=Cj0KCQjw9ZLSBhCcARIsAEhGKgP0SZxjk5MLwVmQ2JzeMjzIynJYYd4Of_F6C74tv6eRdmuNzXNis3EaAokfEALw_wcB,ESC
UBEC 5A AIR (2S-8S),1,$13.99,https://www.hobbywingdirect.com/products/ubec-5a-air?srsltid=AfmBOoqRnU84hDPFxfyst9IgUc3ruEUX68bzv6BAKLW5W3F4OHcgNk4W,UBEC #1
UBEC 10A (2-6S),1,$24.99,https://www.hobbywingdirect.com/products/ubec-10a?srsltid=AfmBOopSL9doeNF5JOIfCIjT2qcDCEXmwreksVrC-TWZUmUVuWScVl29,UBEC #2
MF106ZZ Flanged Ball Bearing,1,$7.89,https://www.walmart.com/ip/MF106ZZ-Flanged-Ball-Bearing-6x10x3mm-Chrome-Steel-Double-Shielded-ABEC1-Flange-Bearings-4-Pack/5204548289?wmlspartner=wlpa&selectedSellerId=571&selectedOfferId=BD3F67C82A113D04BF0B3004AF25AF49&wmlspartner=wlpa&cn=FY25-ENTP-PMAX_cnv_dps_dsn_dis_ad_entp_e_n&gclsrc=aw.ds&adid=22222222297BD3F67C82A113D04BF0B3004AF25AF49_0000000000_21407473164&wl0=&wl1=g&wl2=c&wl3=&wl4=&wl5=9001901&wl6=&wl7=&wl8=&wl9=pla&wl10=111838760&wl11=online&wl12=BD3F67C82A113D04BF0B3004AF25AF49&veh=sem&gad_source=4&gad_campaignid=21690411341&gbraid=0AAAAADmfBIoHc_QimGQnIMf2MPYMpGagR&gclid=CjwKCAjwmdLSBhANEiwAkREMN6fP8ZebQf1s8ck0jSdsq2EMDUCnKq36wmtYt_KsAsGc82xyw7P-MhoCIzkQAvD_BwE,Bearing
3D Print Company,,?,https://craftcloud3d.com/en/material-guide/carbon-fiber-petg,Will get quote when finalize drone frame model
Parts For Assembly,,?,,"Ex. Wires, tools, screws, etc."
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,"$1,060.10",,,
